position,person,personID,start,end
President,Mamadou Tandja,Q220227,1999-12-22,2010-02-18
President,Salou Djibo,Q356835,2010-02-18,2011-04-07
President,Mahamadou Issoufou,Q57482,2011-04-07,2021-04-02
President,Mohamed Bazoum,Q3318398,2021,
Prime Minister,Ibrahim Assane Mayaki,Q761823,1997-11-27,2000-01-03
Prime Minister,Hama Amadou,Q544141,2000-01-01,2007-06-07
Prime Minister,Seyni Oumarou,Q703987,2007-06-07,2009-09-23
Prime Minister,Albadé Abouba,Q2830749,2009-09-23,2009-10-02
Prime Minister,Ali Badjo Gamatié,Q2097624,2009-10-02,2010-02-18
Prime Minister,Mahamadou Danda,Q386527,2010-02-23,2011-04-07
Prime Minister,Brigi Rafini,Q57877,2011-04-07,2021-04-03
Prime Minister,Ouhoumoudou Mahamadou,Q7110324,2021-04-03,
Minister of Agriculture,Alambedji Abba Issa,Q110537713,2021-04-07,
Minister of Commerce,Gado Sabo Moctar,Q110537709,2021-04-07,2021-11-29
Minister of Commerce,Alkache Alhada,Q101041532,2021-11-29,
Minister of Communication,Zada Mahamadou,Q110537688,2021-04-07,
Minister of Culture,Mohamed Hamid,Q110537755,2021-04-07,
Minister of Employment and Social Protection,Ibrahim Boukary,Q110537817,2021-04-07,
Minister of the Environment,Garama Saratou Rabiou Inoussa,Q110537807,2021-04-07,
Minister of Equipment,Kalla Ankourao,Q6353461,2011-04,2012-04
Minister of Equipment,Hamadou Adamou Souley,Q110537610,2021-04-07,2021-11-29
Minister of Finance,Ali Badjo Gamatié,Q2097624,2000-01-05,2002-11-09
Minister of Finance,Ali Lamine Zeine,Q2646711,2003-10-24,2010-02
Minister of Finance,Ouhoumoudou Mahamadou,Q7110324,2011-04-21,2012-04-02
Minister of Finance,Hassoumi Massoudou,Q5680106,2014,2019
Minister of Finance,Mamadou Diop,Q61610642,2019,2021
Minister of Finance,Ahmat Jidoud,Q106424171,2021-04-07,
Minister of Foreign Affairs,Aïchatou Mindaoudou,Q2876218,1999,2000
Minister of Foreign Affairs,Nassirou Sabo,Q6967677,2000,2001
Minister of Foreign Affairs,Aïchatou Mindaoudou,Q2876218,2001,2010
Minister of Foreign Affairs,Aminatou Maïga Touré,Q2843402,2010-03-01,2011-04-21
Minister of Foreign Affairs,Mohamed Bazoum,Q3318398,2011-04-21,2015
Minister of Foreign Affairs,Aïchatou Boulama Kané,Q794630,2015-02-25,2016-04-11
Minister of Foreign Affairs,Ibrahim Yacouba,Q15819843,2016-04-11,2018-04-11
Minister of Foreign Affairs,Kalla Ankourao,Q6353461,2018-04-11,2020-12-04
Minister of Foreign Affairs,Marou Amadou,Q1902382,2020-12-04,2021-04-07
Minister of Foreign Affairs,Hassoumi Massoudou,Q5680106,2021-04-07,
Minister of Higher Education,Mamoudou Djibo,Q110537643,2021-04-07,
Minister of Humanitarian Action and Disaster Management,Laouan Magagi,Q23062948,2021-04-07,
Minister of Hydraulics,Adamou Mahaman,Q110537795,2021-04-07,
Minister of the Interior,Alkache Alhada,Q101041532,2021-04-07,2021-11-29
Minister of the Interior,Hamadou Adamou Souley,Q110537610,2021-11-29,
Minister of Justice,Ali Sirfi,Q26980205,2000,2001
Minister of Justice,Maty E. Moussa,Q3300007,2001,2007
Minister of Justice,Boubakar Hassan,Q110537619,2021-04-07,2021-11-29
Minister of Justice,Ikta Abdoulaye Mohamed,Q110537896,2021-11-29,
Minister of Livestock,Tidjani Idrissa Abdoulkadri,Q110537680,2021-04-07,
Minister of Mines,Ousseini Hadizatou Yacouba,Q110537651,2021-04-07,
Minister of National Defence,Alkassoum Indattou,Q110537624,2021-04-07,
Minister of National Education,Rabiou Ousman,Q110537788,2021-04-07,
"Minister of Petroleum, Energy, and Renewable Energies",Mahamane Sani Mahamadou,Q109043897,2021-04-07,
Minister of Planning,Abdou Rabiou,Q110537732,2021-04-07,
Minister of Post and New Information Technologies,Moussa Hassane Barazé,Q104524502,2021-04-07,
Minister for the Promotion of Women,Allahoury Aminata Zourkaleini,Q110537782,2021-04-07,
Minister of Public Health,Illiassou Idi Mainassara,Q110537647,2021-04-07,
Minister of Public Service,Attaka Zaharatou,Q110537620,2021-04-07,2021-11-29
Minister of Public Service,Hadiza Douara Kafougou,Q110537922,2021-11-29,
Minister of Regional Planning,Maman Ibrahim Mahaman,Q110537764,2021-04-07,
"Minister of Town Planning, Housing and Sanitation",Maïzoumbou Laoual Amadou,Q110537726,2021-04-07,
Minister of Transport,Oumarou Alma,Q99823830,2021-04-07,
Minister of Vocational Training,Kassoum Mamane Moctar,Q1735274,2021-04-07,
Minister of Youth and Sport,Sekou Doro Adamou,Q109044148,2021-04-07,
President of the National Assembly,Hama Amadou,Q544141,2011-04-19,2014-11-24
President of the National Assembly,Amadou Salifou,Q19259177,2014-11-24,2016-03-24
President of the National Assembly,Ousseini Tinni,Q27825306,2016-03-25,2021-03-23
President of the National Assembly,Seyni Oumarou,Q703987,2021-03-23,
Chief of General Staff,Salifou Mody,Q30336039,2020,
ambassador to Canada,Hassana Alidou,Q27824558,2016,
ambassador to Cape Verde,Elhadji Abdou-Saleye,Q3050866,1978-11-13,2006-08-03
ambassador to France,Aïchatou Boulama Kané,Q794630,2021-09-23,
ambassador to Guinea-Bissau,Elhadji Abdou-Saleye,Q3050866,1978-10-10,2006-08-03
ambassador to Hungary,Amina Bazindre,Q4075272,2005,
ambassador to Mauritania,Elhadji Abdou-Saleye,Q3050866,1978-08-11,2006-08-03
ambassador to Morocco,Elhadji Abdou-Saleye,Q3050866,1978-10-30,2006-08-03
ambassador to Romania,Amina Bazindre,Q4075272,2018,
ambassador to the Russian Federation,Amina Bazindre,Q4075272,2010-02-05,
ambassador to Senegal,Elhadji Abdou-Saleye,Q3050866,1978-02-03,2006-08-03
ambassador to Senegal,Hassane Kounou,Q56635982,2014,2018-09-08
ambassador to Senegal,Fatima Djibo Sidikou,Q31271335,2019,
ambassador to the Gambia,Elhadji Abdou-Saleye,Q3050866,1979-01-15,2006-08-03
ambassador to the United States of America,Hassana Alidou,Q27824558,2015-02,
